City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
49,thompson,55.7435,55.7435,39.36,35,20,8.05,CA,1681587101
50,klaksvik,62.2266,62.2266,45.52,86,12,12.86,FO,1681587102
51,chuy,-33.6971,-33.6971,61.7,63,92,7.7,UY,1681587102
52,goderich,43.7501,43.7501,71.92,37,40,4.61,CA,1681587102
53,alta,69.9689,69.9689,33.06,61,8,5.75,NO,1681587102
54,rjukan,59.8789,59.8789,41.04,99,100,2.01,NO,1681587102
55,brae,60.3964,60.3964,44.62,85,6,10.29,GB,1681587102
56,puerto plata,19.7934,19.7934,91.45,66,40,18.41,DO,1681586855
57,whitehorse,60.7161,60.7161,38.17,44,100,15.01,CA,1681587103
58,havre-saint-pierre,50.2334,50.2334,37.76,56,75,10.36,CA,1681587103
59,kloulklubed,7.0419,7.0419,77.5,70,47,5.48,PW,1681587095
60,novikovo,51.1537,51.1537,38.46,62,100,9.15,RU,1681587103
61,roald,62.5833,62.5833,50.76,93,0,3.44,NO,1681587104
62,san quintin,30.4833,30.4833,63.63,62,0,11.9,MX,1681587101
63,champerico,14.3,14.3,97.34,58,23,15.21,GT,1681587104
64,bluff,-46.6,-46.6,52.81,87,90,6.35,NZ,1681587104
65,mahanoro,-19.9,-19.9,73.96,86,9,2.39,MG,1681587104
66,mount gambier,-37.8333,-37.8333,50.76,84,18,8.34,AU,1681587104
67,carutapera,-1.195,-1.195,82.35,76,17,6.82,BR,1681587105
68,presidencia roque saenz pena,-26.7852,-26.7852,79.12,53,76,5.84,AR,1681587105
69,port elizabeth,-33.918,-33.918,61.09,88,0,6.91,ZA,1681587105
70,hithadhoo,-0.6,-0.6,83.88,69,100,9.1,MV,1681587105
71,minot,48.2325,48.2325,47.01,49,75,24.16,US,1681587080
72,dingle,10.9995,10.9995,77.77,84,77,1.52,PH,1681587105
73,kaitangata,-46.2817,-46.2817,49.93,87,13,3.36,NZ,1681587106
74,upernavik,72.7868,72.7868,11.25,94,95,9.42,GL,1681587106
75,torbay,47.6666,47.6666,43.75,71,20,27.63,CA,1681587106
76,raudeberg,61.9875,61.9875,43.95,65,80,2.3,NO,1681587077
77,gumdag,39.2061,39.2061,60.64,44,0,11.88,TM,1681587107
78,cidreira,-30.1811,-30.1811,67.8,86,100,13.42,BR,1681587107
79,marzuq,14.4,14.4,74.77,60,31,6.51,YE,1681587107
80,zhaozhou,45.6833,45.6833,40.08,51,97,8.3,CN,1681587107
81,victoria,22.2855,22.2855,79.2,80,90,2.21,HK,1681587107
82,sungaipenuh,-2.0833,-2.0833,63.86,97,99,0.98,ID,1681587108
83,porkhov,57.765,57.765,38.66,58,100,7.52,RU,1681587108
84,namibe,-15.1961,-15.1961,75.65,73,61,4.16,AO,1681587108
85,swan hill,-35.3378,-35.3378,53.62,83,82,13.02,AU,1681587108
86,kodiak,57.79,57.79,27.91,74,100,20.71,US,1681587109
87,sangre grande,10.5835,10.5835,87.93,95,100,12.06,TT,1681587109
88,kununurra,-15.7667,-15.7667,76.98,100,100,0.0,AU,1681587109
89,itacoatiara,-3.1431,-3.1431,86.49,67,79,3.44,BR,1681587109
90,nabire,-3.3667,-3.3667,75.65,81,100,3.2,ID,1681587109
91,provideniya,64.3833,64.3833,10.74,67,100,3.76,RU,1681587022
92,vestmannaeyjar,63.4427,63.4427,45.48,77,100,24.07,IS,1681587110
93,barra do corda,-5.5,-5.5,83.34,86,100,1.74,BR,1681587110
94,forbes,-33.3833,-33.3833,63.91,78,100,12.15,AU,1681587110
95,bowen,-20.0167,-20.0167,78.1,78,99,10.87,AU,1681587110
